JPG,X,Y,W,H,BRAND,CONFIDENCE,FRAME,A1,A2,A3,A4,A5,A6,A7,A8,A9,P1,P2,P3,P4,P5,P6,P7,P8,P9,A,P
/data/yann/nfl/vid/all_imgs1/part_1_000534.jpg,78,128,300,158,Gillette,47,534,47400,0,0,0,0,0,0,0,0,0.096692708,0,0,0,0,0,0,0,0,0.022858796,0.773541667
/data/yann/nfl/vid/all_imgs1/part_1_000535.jpg,108,181,177,98,Gillette,99,535,17346,0,0,0,0,0,0,0,0,0.074533594,0,0,0,0,0,0,0,0,0.008365162,0.59626875
/data/yann/nfl/vid/all_imgs1/part_1_000535.jpg,83,127,295,159,Gillette,57,535,46905,0,0,0,0,0,0,0,0,0.116041016,0,0,0,0,0,0,0,0,0.022620081,0.928328125
/data/yann/nfl/vid/all_imgs1/part_1_000537.jpg,92,124,288,161,Gillette,52,537,46368,0,0,0,0,0,0,0,0,0.10465,0,0,0,0,0,0,0,0,0.022361111,0.8372
/data/yann/nfl/vid/all_imgs1/part_1_000539.jpg,152,174,143,114,Gillette,99,539,16302,0,0,0,0,0,0,0,0,0.070047656,0,0,0,0,0,0,0,0,0.00786169,0.56038125
/data/yann/nfl/vid/all_imgs1/part_1_000540.jpg,157,172,139,120,Gillette,99,540,16680,0,0,0,0,0,0,0,0,0.071671875,0,0,0,0,0,0,0,0,0.008043981,0.573375
/data/yann/nfl/vid/all_imgs1/part_1_001122.jpg,1609,372,182,93,Pepsi,51,1122,0,0,0,0,0,16926,0,0,0,0,0,0,0,0,0.037466406,0,0,0,0.008162616,0.29973125
/data/yann/nfl/vid/all_imgs1/part_1_001125.jpg,1637,372,180,92,Pepsi,54,1125,0,0,0,0,0,16560,0,0,0,0,0,0,0,0,0.0388125,0,0,0,0.007986111,0.3105
/data/yann/nfl/vid/all_imgs1/part_1_001126.jpg,1657,371,176,95,Pepsi,41,1126,0,0,0,0,0,16720,0,0,0,0,0,0,0,0,0.029753472,0,0,0,0.008063272,0.238027778
/data/yann/nfl/vid/all_imgs1/part_1_001129.jpg,1689,370,170,96,Pepsi,45,1129,0,0,0,0,0,16320,0,0,0,0,0,0,0,0,0.031875,0,0,0,0.00787037,0.255
/data/yann/nfl/vid/all_imgs1/part_1_001129.jpg,1717,359,113,111,Pepsi,93,1129,0,0,113,0,0,12430,0,0,0,0,0,0.00045612,0,0,0.050173177,0,0,0,0.0060489,0.405034375
/data/yann/nfl/vid/all_imgs1/part_1_001135.jpg,1719,368,175,96,Pepsi,40,1135,0,0,0,0,0,16800,0,0,0,0,0,0,0,0,0.029166667,0,0,0,0.008101852,0.233333333
/data/yann/nfl/vid/all_imgs1/part_1_001171.jpg,1646,230,172,109,Gillette,50,1171,0,0,18748,0,0,0,0,0,0,0,0,0.040685764,0,0,0,0,0,0,0.009041281,0.325486111
/data/yann/nfl/vid/all_imgs1/part_1_001208.jpg,1645,219,197,94,Gillette,99,1208,0,0,18518,0,0,0,0,0,0,0,0,0.079569531,0,0,0,0,0,0,0.008930363,0.63655625
/data/yann/nfl/vid/all_imgs1/part_1_001209.jpg,1613,159,297,152,Gillette,61,1209,0,0,45144,0,0,0,0,0,0,0,0,0.119521875,0,0,0,0,0,0,0.021770833,0.956175
/data/yann/nfl/vid/all_imgs1/part_1_001514.jpg,0,102,1560,622,New England Patriots,57,1514,165120,165120,72240,230400,230400,100800,2560,2560,1120,0.4085,0.4085,0.17871875,0.57,0.57,0.249375,0.006333333,0.006333333,0.002770833,0.467939815,35.16425
/data/yann/nfl/vid/all_imgs1/part_1_001519.jpg,0,113,1683,510,New England Patriots,47,1519,158080,158080,99541,168320,168320,105989,0,0,0,0.322472222,0.322472222,0.203056727,0.343361111,0.343361111,0.2162102,0,0,0,0.413932292,23.62157986
/data/yann/nfl/vid/all_imgs1/part_1_001520.jpg,0,113,1688,501,New England Patriots,47,1520,158080,158080,100776,162560,162560,103632,0,0,0,0.322472222,0.322472222,0.205576042,0.331611111,0.331611111,0.211402083,0,0,0,0.407835648,23.08626944
/data/yann/nfl/vid/all_imgs1/part_1_001522.jpg,0,109,1563,498,New England Patriots,42,1522,160640,160640,71033,158080,158080,69901,0,0,0,0.292833333,0.292833333,0.12948724,0.288166667,0.288166667,0.127423698,0,0,0,0.375373264,19.41995417
/data/yann/nfl/vid/all_imgs1/part_1_001524.jpg,0,128,1701,497,New England Patriots,52,1524,148480,148480,97672,169600,169600,111565,0,0,0,0.335111111,0.335111111,0.220440278,0.382777778,0.382777778,0.251796007,0,0,0,0.407695313,25.98189028
/data/yann/nfl/vid/all_imgs1/part_1_001526.jpg,0,128,1631,470,New England Patriots,59,1526,148480,148480,81432,152320,152320,83538,0,0,0,0.380222222,0.380222222,0.208528125,0.390055556,0.390055556,0.213921094,0,0,0,0.369680748,26.62559375
/data/yann/nfl/vid/all_imgs1/part_1_001535.jpg,0,115,1919,502,New England Patriots,54,1535,156800,156800,156555,164480,164480,164223,0,0,0,0.3675,0.3675,0.366925781,0.3855,0.3855,0.384897656,0,0,0,0.464572724,28.8565875
/data/yann/nfl/vid/all_imgs1/part_1_001539.jpg,0,113,1626,507,New England Patriots,41,1539,158080,158080,85462,166400,166400,89960,0,0,0,0.281305556,0.281305556,0.152080816,0.296111111,0.296111111,0.160085069,0,0,0,0.397560764,20.02710486
/data/yann/nfl/vid/all_imgs1/part_1_002178.jpg,788,514,196,102,GMC,99,2178,0,0,0,0,19992,0,0,0,0,0,0,0,0,0.085903125,0,0,0,0,0.009641204,3.0925125
/data/yann/nfl/vid/all_imgs1/part_1_002179.jpg,785,515,199,102,GMC,99,2179,0,0,0,0,20298,0,0,0,0,0,0,0,0,0.087217969,0,0,0,0,0.009788773,3.139846875
/data/yann/nfl/vid/all_imgs1/part_1_002180.jpg,787,514,199,101,GMC,99,2180,0,0,0,0,20099,0,0,0,0,0,0,0,0,0.086362891,0,0,0,0,0.009692805,3.109064063
/data/yann/nfl/vid/all_imgs1/part_1_002181.jpg,785,515,199,100,GMC,99,2181,0,0,0,0,19900,0,0,0,0,0,0,0,0,0.085507813,0,0,0,0,0.009596836,3.07828125
/data/yann/nfl/vid/all_imgs1/part_1_002182.jpg,784,515,200,101,GMC,99,2182,0,0,0,0,20200,0,0,0,0,0,0,0,0,0.086796875,0,0,0,0,0.009741512,3.1246875
/data/yann/nfl/vid/all_imgs1/part_1_002183.jpg,781,517,196,101,GMC,99,2183,0,0,0,0,19796,0,0,0,0,0,0,0,0,0.085060938,0,0,0,0,0.009546682,3.06219375
/data/yann/nfl/vid/all_imgs1/part_1_002184.jpg,779,516,202,100,GMC,99,2184,0,0,0,0,20200,0,0,0,0,0,0,0,0,0.086796875,0,0,0,0,0.009741512,3.1246875
/data/yann/nfl/vid/all_imgs1/part_1_002185.jpg,782,516,197,102,GMC,99,2185,0,0,0,0,20094,0,0,0,0,0,0,0,0,0.086341406,0,0,0,0,0.009690394,3.108290625
/data/yann/nfl/vid/all_imgs1/part_1_002186.jpg,784,516,199,102,GMC,99,2186,0,0,0,0,20298,0,0,0,0,0,0,0,0,0.087217969,0,0,0,0,0.009788773,3.139846875
/data/yann/nfl/vid/all_imgs1/part_1_002187.jpg,784,517,201,101,GMC,99,2187,0,0,0,0,20301,0,0,0,0,0,0,0,0,0.087230859,0,0,0,0,0.00979022,3.140310938
/data/yann/nfl/vid/all_imgs1/part_1_002188.jpg,785,517,201,102,GMC,99,2188,0,0,0,0,20502,0,0,0,0,0,0,0,0,0.088094531,0,0,0,0,0.009887153,3.171403125
/data/yann/nfl/vid/all_imgs1/part_1_002189.jpg,788,517,194,104,GMC,99,2189,0,0,0,0,20176,0,0,0,0,0,0,0,0,0.08669375,0,0,0,0,0.009729938,3.120975
/data/yann/nfl/vid/all_imgs1/part_1_002190.jpg,786,515,188,103,GMC,99,2190,0,0,0,0,19364,0,0,0,0,0,0,0,0,0.083204688,0,0,0,0,0.009338349,2.99536875
/data/yann/nfl/vid/all_imgs1/part_1_002191.jpg,789,517,188,103,GMC,97,2191,0,0,0,0,19364,0,0,0,0,0,0,0,0,0.081523785,0,0,0,0,0.009338349,2.93485625
/data/yann/nfl/vid/all_imgs1/part_1_002192.jpg,789,517,188,103,GMC,97,2192,0,0,0,0,19364,0,0,0,0,0,0,0,0,0.081523785,0,0,0,0,0.009338349,2.93485625
/data/yann/nfl/vid/all_imgs1/part_1_002193.jpg,789,517,199,103,GMC,98,2193,0,0,0,0,20497,0,0,0,0,0,0,0,0,0.08718342,0,0,0,0,0.009884742,3.138603125
/data/yann/nfl/vid/all_imgs1/part_1_002194.jpg,787,518,203,103,GMC,98,2194,0,0,0,0,20909,0,0,0,0,0,0,0,0,0.088935851,0,0,0,0,0.01008343,3.201690625
/data/yann/nfl/vid/all_imgs1/part_1_002195.jpg,809,520,210,100,GMC,98,2195,0,0,0,0,21000,0,0,0,0,0,0,0,0,0.089322917,0,0,0,0,0.010127315,3.215625
/data/yann/nfl/vid/all_imgs1/part_1_002196.jpg,808,521,211,99,GMC,97,2196,0,0,0,0,20889,0,0,0,0,0,0,0,0,0.087944141,0,0,0,0,0.010073785,3.165989063
/data/yann/nfl/vid/all_imgs1/part_1_002197.jpg,809,521,210,99,GMC,91,2197,0,0,0,0,20790,0,0,0,0,0,0,0,0,0.082113281,0,0,0,0,0.010026042,2.956078125
/data/yann/nfl/vid/all_imgs1/part_1_002198.jpg,805,521,211,100,GMC,74,2198,0,0,0,0,21100,0,0,0,0,0,0,0,0,0.067769097,0,0,0,0,0.01017554,2.4396875
/data/yann/nfl/vid/all_imgs1/part_1_002199.jpg,805,522,216,98,GMC,89,2199,0,0,0,0,21168,0,0,0,0,0,0,0,0,0.08176875,0,0,0,0,0.010208333,2.943675
/data/yann/nfl/vid/all_imgs1/part_1_002201.jpg,803,523,219,97,GMC,91,2201,0,0,0,0,21243,0,0,0,0,0,0,0,0,0.083902474,0,0,0,0,0.010244502,3.020489063
/data/yann/nfl/vid/all_imgs1/part_1_002202.jpg,803,523,219,97,GMC,93,2202,0,0,0,0,21243,0,0,0,0,0,0,0,0,0.085746484,0,0,0,0,0.010244502,3.086873438
/data/yann/nfl/vid/all_imgs1/part_1_002203.jpg,807,522,217,98,GMC,80,2203,0,0,0,0,21266,0,0,0,0,0,0,0,0,0.073840278,0,0,0,0,0.010255594,2.65825
/data/yann/nfl/vid/all_imgs1/part_1_002204.jpg,808,522,214,98,GMC,86,2204,0,0,0,0,20972,0,0,0,0,0,0,0,0,0.078280903,0,0,0,0,0.010113812,2.8181125
/data/yann/nfl/vid/all_imgs1/part_1_002205.jpg,777,537,273,64,GMC,46,2205,0,0,0,0,17472,0,0,0,0,0,0,0,0,0.034883333,0,0,0,0,0.008425926,1.2558
/data/yann/nfl/vid/all_imgs1/part_1_002206.jpg,804,520,214,101,GMC,80,2206,0,0,0,0,21614,0,0,0,0,0,0,0,0,0.075048611,0,0,0,0,0.010423418,2.70175
/data/yann/nfl/vid/all_imgs1/part_1_002207.jpg,802,520,216,100,GMC,60,2207,0,0,0,0,21600,0,0,0,0,0,0,0,0,0.05625,0,0,0,0,0.010416667,2.025
/data/yann/nfl/vid/all_imgs1/part_1_002208.jpg,806,521,213,100,GMC,97,2208,0,0,0,0,21300,0,0,0,0,0,0,0,0,0.089674479,0,0,0,0,0.010271991,3.22828125
/data/yann/nfl/vid/all_imgs1/part_1_002209.jpg,784,520,208,102,GMC,97,2209,0,0,0,0,21216,0,0,0,0,0,0,0,0,0.089320833,0,0,0,0,0.010231481,3.21555
/data/yann/nfl/vid/all_imgs1/part_1_002210.jpg,789,519,203,100,GMC,97,2210,0,0,0,0,20300,0,0,0,0,0,0,0,0,0.08546441,0,0,0,0,0.009789738,3.07671875
/data/yann/nfl/vid/all_imgs1/part_1_002211.jpg,792,518,194,101,GMC,98,2211,0,0,0,0,19594,0,0,0,0,0,0,0,0,0.083342535,0,0,0,0,0.009449267,3.00033125
/data/yann/nfl/vid/all_imgs1/part_1_002212.jpg,793,518,193,101,GMC,98,2212,0,0,0,0,19493,0,0,0,0,0,0,0,0,0.082912934,0,0,0,0,0.009400559,2.984865625
/data/yann/nfl/vid/all_imgs1/part_1_002213.jpg,789,519,197,100,GMC,92,2213,0,0,0,0,19700,0,0,0,0,0,0,0,0,0.078663194,0,0,0,0,0.009500386,2.831875
/data/yann/nfl/vid/all_imgs1/part_1_002214.jpg,784,518,202,100,GMC,96,2214,0,0,0,0,20200,0,0,0,0,0,0,0,0,0.084166667,0,0,0,0,0.009741512,3.03
/data/yann/nfl/vid/all_imgs1/part_1_002215.jpg,782,518,201,100,GMC,98,2215,0,0,0,0,20100,0,0,0,0,0,0,0,0,0.085494792,0,0,0,0,0.009693287,3.0778125
/data/yann/nfl/vid/all_imgs1/part_1_002216.jpg,780,518,200,100,GMC,93,2216,0,0,0,0,20000,0,0,0,0,0,0,0,0,0.080729167,0,0,0,0,0.009645062,2.90625
/data/yann/nfl/vid/all_imgs1/part_1_002217.jpg,780,518,201,100,GMC,96,2217,0,0,0,0,20100,0,0,0,0,0,0,0,0,0.08375,0,0,0,0,0.009693287,3.015
/data/yann/nfl/vid/all_imgs1/part_1_002218.jpg,776,521,209,97,GMC,75,2218,0,0,0,0,20273,0,0,0,0,0,0,0,0,0.065992839,0,0,0,0,0.009776717,2.375742188
/data/yann/nfl/vid/all_imgs1/part_1_002219.jpg,779,517,199,100,GMC,99,2219,0,0,0,0,19900,0,0,0,0,0,0,0,0,0.085507813,0,0,0,0,0.009596836,3.07828125
/data/yann/nfl/vid/all_imgs1/part_1_002220.jpg,778,517,202,101,GMC,94,2220,0,0,0,0,20402,0,0,0,0,0,0,0,0,0.083237326,0,0,0,0,0.009838927,2.99654375
